V,E,Array_Time,Heap_Time
10,14,2.1114349365234376e-05,8.709430694580078e-06
50,336,0.0004097867012023926,0.00010531663894653321
100,1448,0.0015570926666259766,0.0003476929664611816
200,5984,0.006142246723175049,0.0012962698936462402
500,37443,0.04301372766494751,0.006449842453002929
1000,149932,0.1782465934753418,0.04503369331359863
