1000, 2, 0.0011525729999988243, 8739
1000, 4, 0.0009154969999940477, 8757
1000, 8, 0.0008031499999958669, 9088
1000, 16, 0.0009329589999964583, 10339
1000, 32, 0.0009235110000105351, 13398
1000, 64, 0.0013629209999947989, 19712
1000, 128, 0.0024476489999898376, 35108
1000, 256, 0.004338572999998291, 63015
1000, 512, 0.009686745999999857, 122610
2000, 2, 0.002512848999998596, 19419
2000, 4, 0.0020942279999900393, 19535
2000, 8, 0.0019334619999966662, 20285
2000, 16, 0.0018383160000041698, 22899
2000, 32, 0.0020357900000078644, 29186
2000, 64, 0.003120459000001574, 43130
2000, 128, 0.005182337999997344, 72963
2000, 256, 0.00944703200001129, 134062
2000, 512, 0.020257541999995965, 253514
3000, 2, 0.004455817999996725, 30941
3000, 4, 0.003670131999996329, 30933
3000, 8, 0.0032652680000069267, 31600
3000, 16, 0.0030820810000022902, 33915
3000, 32, 0.003183417000002464, 40263
3000, 64, 0.004209094000003688, 55315
3000, 128, 0.006443083999997157, 87165
3000, 256, 0.011168539000010469, 155661
3000, 512, 0.022127502999993, 290455
4000, 2, 0.005697883999999931, 42800
4000, 4, 0.004841908999992484, 43019
4000, 8, 0.004405946000005656, 44515
4000, 16, 0.004311483000009275, 49084
4000, 32, 0.0046504560000073525, 61507
4000, 64, 0.006782608999998274, 89381
4000, 128, 0.010850002999987396, 147551
4000, 256, 0.019053976999998667, 267929
4000, 512, 0.043511967000000595, 514537
5000, 2, 0.007800121999991916, 55205
5000, 4, 0.006893263000009142, 55252
5000, 8, 0.006854089999990265, 55747
5000, 16, 0.005710707000005755, 58526
5000, 32, 0.005715195000007611, 66391
5000, 64, 0.006787588999998206, 86351
5000, 128, 0.01018704300000195, 130991
5000, 256, 0.016648551999992378, 225464
5000, 512, 0.030596023000001082, 420415
6000, 2, 0.0099075589999984, 67952
6000, 4, 0.008390918999992891, 67958
6000, 8, 0.007485282000004645, 69031
6000, 16, 0.007107446999995659, 73519
6000, 32, 0.007149373999993713, 86142
6000, 64, 0.009222037000000682, 115932
6000, 128, 0.013908330000006686, 181022
6000, 256, 0.022867963999999574, 312979
6000, 512, 0.04495833899999013, 586957
7000, 2, 0.011279754000000253, 80675
7000, 4, 0.009686751999993248, 80921
7000, 8, 0.008837169000003087, 82767
7000, 16, 0.008474743000007834, 89534
7000, 32, 0.00884334100000217, 107580
7000, 64, 0.011839273000006756, 149376
7000, 128, 0.01842980899999702, 239276
7000, 256, 0.030942590999998743, 425193
7000, 512, 0.06489156400000695, 807414
8000, 2, 0.012784933000006049, 93585
8000, 4, 0.010949224999990292, 94062
8000, 8, 0.010039671999990674, 96982
8000, 16, 0.00972726699998816, 106319
8000, 32, 0.010384596999998053, 131119
8000, 64, 0.014665802999999755, 186309
8000, 128, 0.0229415299999971, 301643
8000, 256, 0.03902259700001309, 541684
8000, 512, 0.08599514300000521, 1037080
9000, 2, 0.015187744000002112, 106949
9000, 4, 0.013358929000006015, 107314
9000, 8, 0.012310900999992214, 108416
9000, 16, 0.011552394999995386, 111731
9000, 32, 0.011523531999998227, 124733
9000, 64, 0.012894934999991392, 156743
9000, 128, 0.018159510999993245, 227825
9000, 256, 0.028663958999999295, 375946
9000, 512, 0.049332125999995924, 681364
10000, 2, 0.016972978000012517, 120429
10000, 4, 0.01580534, 120456
10000, 8, 0.013847988999998506, 121395
10000, 16, 0.01300705200000607, 126937
10000, 32, 0.012989709000009952, 143109
10000, 64, 0.015136408999993023, 183756
10000, 128, 0.021659491000008302, 272827
10000, 256, 0.03507760899999823, 465126
10000, 512, 0.06203438700001129, 847862
20000, 2, 0.036914088000003176, 260883
20000, 4, 0.03370426200000054, 260958
20000, 8, 0.03049092999999914, 262965
20000, 16, 0.028686250000006908, 273749
20000, 32, 0.028981182999999078, 306997
20000, 64, 0.03327405000000283, 388587
20000, 128, 0.046061006999991605, 565149
20000, 256, 0.07129845100000409, 935990
20000, 512, 0.12718240300000616, 1691689
30000, 2, 0.0561332189999888, 408586
30000, 4, 0.050021524000001705, 409867
30000, 8, 0.04605259200000944, 419089
30000, 16, 0.04493159900000876, 451628
30000, 32, 0.046805496999994034, 536835
30000, 64, 0.06118124700000749, 728069
30000, 128, 0.0902858170000087, 1141681
30000, 256, 0.14780103799999722, 1984679
30000, 512, 0.2991242679999999, 3691618
40000, 2, 0.07923034600000278, 561727
40000, 4, 0.07345662199999481, 562065
40000, 8, 0.0670951680000087, 566099
40000, 16, 0.06345273700000575, 588491
40000, 32, 0.06332090399999402, 653233
40000, 64, 0.07190005900000074, 813914
40000, 128, 0.09786007199998892, 1169285
40000, 256, 0.14867680999999777, 1916768
40000, 512, 0.25838604300000156, 3437161
50000, 2, 0.10327750999999807, 717995
50000, 4, 0.09078908200000058, 718154
50000, 8, 0.0839854249999945, 728858
50000, 16, 0.08025412899999651, 769063
50000, 32, 0.0816069690000063, 879269
50000, 64, 0.09948416000000293, 1140967
50000, 128, 0.13909968900000536, 1702774
50000, 256, 0.21889144799999372, 2876711
50000, 512, 0.4207237279999987, 5281664
60000, 2, 0.12124513900000977, 877291
60000, 4, 0.10842412899999943, 880022
